P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Cristopher Sanchez (44213405),Cristopher Sanchez,44213405,P,11100,PHI@NYM 09/20/2026 01:10PM ET,PHI,21.52
,,,,,,,,,,,SP,Dylan Cease (44213922),Dylan Cease,44213922,P,10800,TOR@TEX 09/20/2026 02:35PM ET,TOR,24.27
,,,,,,,,,,,SP,Jesus Luzardo (44213923),Jesus Luzardo,44213923,P,10500,PHI@NYM 09/20/2026 01:10PM ET,PHI,22.85
,,,,,,,,,,,SP,Gavin Williams (44213406),Gavin Williams,44213406,P,10400,ATH@CLE 09/20/2026 01:40PM ET,CLE,21.64
,,,,,,,,,,,SP,Chris Sale (44213924),Chris Sale,44213924,P,10200,ATL@HOU 09/20/2026 02:10PM ET,ATL,23.70
,,,,,,,,,,,SP,Payton Tolle (44213407),Payton Tolle,44213407,P,10100,BOS@TB 09/20/2026 01:40PM ET,BOS,19.77
,,,,,,,,,,,SP,Parker Messick (44213925),Parker Messick,44213925,P,10100,ATH@CLE 09/20/2026 01:40PM ET,CLE,20.20
,,,,,,,,,,,SP,Drew Rasmussen (44213926),Drew Rasmussen,44213926,P,9800,BOS@TB 09/20/2026 01:40PM ET,TB,19.4
,,,,,,,,,,,SP,Jacob deGrom (44213408),Jacob deGrom,44213408,P,9600,TOR@TEX 09/20/2026 02:35PM ET,TEX,18.95
,,,,,,,,,,,SP,Hunter Brown (44213409),Hunter Brown,44213409,P,9500,ATL@HOU 09/20/2026 02:10PM ET,HOU,17.27
,,,,,,,,,,,SP,Zack Wheeler (44213927),Zack Wheeler,44213927,P,9500,PHI@NYM 09/20/2026 01:10PM ET,PHI,21.02
,,,,,,,,,,,SP,Garrett Crochet (44213928),Garrett Crochet,44213928,P,9400,BOS@TB 09/20/2026 01:40PM ET,BOS,13.78
,,,,,,,,,,,SP,Sonny Gray (44213929),Sonny Gray,44213929,P,9300,BOS@TB 09/20/2026 01:40PM ET,BOS,18.16
,,,,,,,,,,,RP,Ian Seymour (44213931),Ian Seymour,44213931,P,9200,BOS@TB 09/20/2026 01:40PM ET,TB,9.25
,,,,,,,,,,,SP,Nolan McLean (44213930),Nolan McLean,44213930,P,9200,PHI@NYM 09/20/2026 01:10PM ET,NYM,18.53
,,,,,,,,,,,SP,Michael Wacha (44213410),Michael Wacha,44213410,P,9000,KC@PIT 09/20/2026 01:35PM ET,KC,16.34
,,,,,,,,,,,SP,Cade Cavalli (44213932),Cade Cavalli,44213932,P,9000,WSH@STL 09/20/2026 02:15PM ET,WSH,18.52
,,,,,,,,,,,SP,Shota Imanaga (44213933),Shota Imanaga,44213933,P,8800,CHC@CIN 09/20/2026 01:40PM ET,CHC,16.38
,,,,,,,,,,,RP,Braxton Ashcraft (44213934),Braxton Ashcraft,44213934,P,8800,KC@PIT 09/20/2026 01:35PM ET,PIT,18.85
