P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Dylan Cease (44217739),Dylan Cease,44217739,P,10500,TOR@BAL 09/21/2026 06:35PM ET,TOR,24.27
,,,,,,,,,,,SP,Taj Bradley (44217740),Taj Bradley,44217740,P,9100,MIN@SF 09/21/2026 09:45PM ET,MIN,18.47
,,,,,,,,,,,SP,Joe Ryan (44217741),Joe Ryan,44217741,P,9100,MIN@SF 09/21/2026 09:45PM ET,MIN,15.52
,,,,,,,,,,,SP,Cade Cavalli (44217742),Cade Cavalli,44217742,P,9000,WSH@DET 09/21/2026 06:40PM ET,WSH,18.52
,,,,,,,,,,,SP,Troy Melton (44217743),Troy Melton,44217743,P,8800,WSH@DET 09/21/2026 06:40PM ET,DET,16.41
,,,,,,,,,,,SP,Mick Abel (44217744),Mick Abel,44217744,P,8600,MIN@SF 09/21/2026 09:45PM ET,MIN,14.19
,,,,,,,,,,,SP,Trey Yesavage (44217582),Trey Yesavage,44217582,P,8500,TOR@BAL 09/21/2026 06:35PM ET,TOR,15.08
,,,,,,,,,,,SP,Jose Soriano (44217745),Jose Soriano,44217745,P,8500,TOR@BAL 09/21/2026 06:35PM ET,TOR,15.83
,,,,,,,,,,,SP,Landen Roupp (44217583),Landen Roupp,44217583,P,8200,MIN@SF 09/21/2026 09:45PM ET,SF,14.11
,,,,,,,,,,,SP,Logan Webb (44217746),Logan Webb,44217746,P,8200,MIN@SF 09/21/2026 09:45PM ET,SF,14.39
,,,,,,,,,,,SP,Shane Baz (44217584),Shane Baz,44217584,P,8000,TOR@BAL 09/21/2026 06:35PM ET,BAL,14.10
,,,,,,,,,,,SP,Trevor Rogers (44217747),Trevor Rogers,44217747,P,8000,TOR@BAL 09/21/2026 06:35PM ET,BAL,15.50
,,,,,,,,,,,SP,Zach Eflin (44217750),Zach Eflin,44217750,P,8000,TOR@BAL 09/21/2026 06:35PM ET,BAL,16.65
,,,,,,,,,,,SP,Connelly Early (44217748),Connelly Early,44217748,P,8000,WSH@DET 09/21/2026 06:40PM ET,WSH,16.23
,,,,,,,,,,,RP,Andrew Alvarez (44217749),Andrew Alvarez,44217749,P,8000,WSH@DET 09/21/2026 06:40PM ET,WSH,12.76
,,,,,,,,,,,SP,Drew Anderson (44217585),Drew Anderson,44217585,P,7800,WSH@DET 09/21/2026 06:40PM ET,DET,6.32
,,,,,,,,,,,SP,River Ryan (44217751),River Ryan,44217751,P,7800,WSH@DET 09/21/2026 06:40PM ET,DET,0
,,,,,,,,,,,SP,Reese Olson (44217752),Reese Olson,44217752,P,7800,WSH@DET 09/21/2026 06:40PM ET,DET,0
,,,,,,,,,,,SP,Keider Montero (44217753),Keider Montero,44217753,P,7800,WSH@DET 09/21/2026 06:40PM ET,DET,11.66
,,,,,,,,,,,SP,Jose Berrios (44217754),Jose Berrios,44217754,P,7500,TOR@BAL 09/21/2026 06:35PM ET,TOR,0
,,,,,,,,,,,SP,Spencer Arrighetti (44217755),Spencer Arrighetti,44217755,P,7500,TOR@BAL 09/21/2026 06:35PM ET,TOR,11.42
,,,,,,,,,,,SP,Max Scherzer (44217756),Max Scherzer,44217756,P,7500,TOR@BAL 09/21/2026 06:35PM ET,TOR,7.81
,,,,,,,,,,,SP,Shane Bieber (44217757),Shane Bieber,44217757,P,7500,TOR@BAL 09/21/2026 06:35PM ET,TOR,11.75
,,,,,,,,,,,RP,Framber Valdez (44217758),Framber Valdez,44217758,P,7300,WSH@DET 09/21/2026 06:40PM ET,DET,12.66
,,,,,,,,,,,SP,Jack Flaherty (44217759),Jack Flaherty,44217759,P,7300,WSH@DET 09/21/2026 06:40PM ET,DET,12.89
,,,,,,,,,,,RP,Anthony Molina (44217760),Anthony Molina,44217760,P,7200,MIN@SF 09/21/2026 09:45PM ET,SF,10.05
,,,,,,,,,,,SP,Bailey Ober (44217586),Bailey Ober,44217586,P,7100,MIN@SF 09/21/2026 09:45PM ET,MIN,11.83
,,,,,,,,,,,SP,Connor Prielipp (44217761),Connor Prielipp,44217761,P,7100,MIN@SF 09/21/2026 09:45PM ET,MIN,13.69
,,,,,,,,,,,SP,Pablo Lopez (44217762),Pablo Lopez,44217762,P,7100,MIN@SF 09/21/2026 09:45PM ET,MIN,0
,,,,,,,,,,,SP,Zebby Matthews (44217763),Zebby Matthews,44217763,P,7100,MIN@SF 09/21/2026 09:45PM ET,MIN,13.82
,,,,,,,,,,,RP,Kendry Rojas (44217764),Kendry Rojas,44217764,P,7100,MIN@SF 09/21/2026 09:45PM ET,MIN,7.43
,,,,,,,,,,,SP,Dean Kremer (44217765),Dean Kremer,44217765,P,7100,MIN@SF 09/21/2026 09:45PM ET,MIN,13.43
,,,,,,,,,,,SP,Brandon Young (44217766),Brandon Young,44217766,P,7000,TOR@BAL 09/21/2026 06:35PM ET,BAL,13.95
,,,,,,,,,,,SP,Chris Bassitt (44217767),Chris Bassitt,44217767,P,7000,TOR@BAL 09/21/2026 06:35PM ET,BAL,10.47
,,,,,,,,,,,SP,Kyle Bradish (44217768),Kyle Bradish,44217768,P,7000,TOR@BAL 09/21/2026 06:35PM ET,BAL,12.99
,,,,,,,,,,,SP,Cade Povich (44217769),Cade Povich,44217769,P,7000,TOR@BAL 09/21/2026 06:35PM ET,BAL,9.71
,,,,,,,,,,,SP,Andrew Sears (44217770),Andrew Sears,44217770,P,6800,WSH@DET 09/21/2026 06:40PM ET,DET,5.4
,,,,,,,,,,,SP,Justin Verlander (44217771),Justin Verlander,44217771,P,6800,WSH@DET 09/21/2026 06:40PM ET,DET,-4.55
,,,,,,,,,,,SP,Jackson Jobe (44217772),Jackson Jobe,44217772,P,6800,WSH@DET 09/21/2026 06:40PM ET,DET,14.71
,,,,,,,,,,,SP,Cody Ponce (44217773),Cody Ponce,44217773,P,6500,TOR@BAL 09/21/2026 06:35PM ET,TOR,8.05
,,,,,,,,,,,SP,Patrick Corbin (44217774),Patrick Corbin,44217774,P,6500,TOR@BAL 09/21/2026 06:35PM ET,TOR,7.50
,,,,,,,,,,,SP,Jameson Taillon (44217775),Jameson Taillon,44217775,P,6500,TOR@BAL 09/21/2026 06:35PM ET,TOR,9.67
,,,,,,,,,,,SP,Carson Whisenhunt (44217776),Carson Whisenhunt,44217776,P,6200,MIN@SF 09/21/2026 09:45PM ET,SF,6.78
,,,,,,,,,,,RP,Trevor McDonald (44217777),Trevor McDonald,44217777,P,6200,MIN@SF 09/21/2026 09:45PM ET,SF,10.13
,,,,,,,,,,,SP,Blade Tidwell (44217778),Blade Tidwell,44217778,P,6200,MIN@SF 09/21/2026 09:45PM ET,SF,7
,,,,,,,,,,,SP,Adrian Houser (44217779),Adrian Houser,44217779,P,6200,MIN@SF 09/21/2026 09:45PM ET,SF,8.71
,,,,,,,,,,,SP,Jackson Kent (44217587),Jackson Kent,44217587,P,6000,WSH@DET 09/21/2026 06:40PM ET,WSH,7.22
,,,,,,,,,,,OF,James Wood (44217588),James Wood,44217588,OF,6000,WSH@DET 09/21/2026 06:40PM ET,WSH,10.34
,,,,,,,,,,,SP,Jake Irvin (44217780),Jake Irvin,44217780,P,6000,WSH@DET 09/21/2026 06:40PM ET,WSH,11.14
,,,,,,,,,,,RP,Zak Kent (44217781),Zak Kent,44217781,P,6000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.23
,,,,,,,,,,,SP,Josiah Gray (44217782),Josiah Gray,44217782,P,6000,WSH@DET 09/21/2026 06:40PM ET,WSH,1.65
,,,,,,,,,,,1B,Pete Alonso (44217589),Pete Alonso,44217589,1B,5700,TOR@BAL 09/21/2026 06:35PM ET,BAL,8.80
,,,,,,,,,,,SP,Miguel Mendez (44217783),Miguel Mendez,44217783,P,5700,MIN@SF 09/21/2026 09:45PM ET,SF,0
,,,,,,,,,,,SP,Keaton Winn (44217784),Keaton Winn,44217784,P,5700,MIN@SF 09/21/2026 09:45PM ET,SF,2.42
,,,,,,,,,,,RP,Jose Butto (44217785),Jose Butto,44217785,P,5700,MIN@SF 09/21/2026 09:45PM ET,SF,-0.5
